CourseID,CNUM,SECTION,INSTNAME,A +,A,A -,B +,B,B -,C +,C,C -,D +,D,D -,F
CHINESE, 001BX,2,"LIU, L            ",0,5,5,0,1,0,0,2,1,0,0,0,0
CHINESE, 001BX,3,"LIU, L            ",0,5,7,3,1,0,0,0,0,0,0,0,0
CHINESE, 001BX,4,"LIU, L            ",0,12,3,0,1,0,0,0,0,0,0,0,0
CHINESE, 001BY,1,"ZHANG, L          ",0,8,3,3,4,1,0,0,0,1,0,0,0
CHINESE, 001BY,2,"ZHANG, L          ",0,10,4,3,0,0,0,0,0,0,0,0,0
CHINESE, 001BY,3,"HSU, H            ",0,6,4,2,2,0,0,0,0,0,0,0,0
CHINESE, 007B,1,"VOLPP, S Y        ",0,13,15,15,2,1,1,0,0,0,0,1,0
CHINESE, 010B,1,"CHU, C P          ",0,5,1,2,0,3,1,0,0,0,0,0,0
CHINESE, 010B,2,"CHU, C P          ",0,6,2,0,0,2,1,0,0,0,0,0,0
CHINESE, 010B,3,"CHU, C P          ",0,8,1,2,1,0,0,0,0,0,0,0,1
CHINESE, 010BX,2,"LI, R             ",0,12,3,0,0,0,0,0,0,0,0,0,0
CHINESE, 010BX,3,"LI, R             ",0,7,6,0,0,0,1,0,0,0,0,0,0
CHINESE, 010BX,4,"LI, R             ",0,6,5,0,0,2,0,0,0,0,0,0,0
CHINESE, 010BX,5,"CHANG, H          ",0,10,4,1,1,0,0,0,0,0,0,0,0
CHINESE, 010BX,6,"CHANG, H          ",0,8,2,1,2,1,0,0,0,0,0,0,0
CHINESE, 100B,1,"CHANG, H          ",0,12,5,1,1,0,0,0,0,0,0,0,0
CHINESE, 100BX,1,"LI, I             ",0,8,4,0,2,1,0,0,0,0,0,0,0
CHINESE, 100BX,2,"DONG, T           ",0,10,7,2,1,0,0,0,0,0,0,0,0
CHINESE,102,1,"LI, I             ",0,9,7,2,0,0,0,0,0,0,0,0,0
CHINESE, 110B,1,"VARSANO, P M      ",2,7,5,4,4,2,1,0,0,0,0,0,0
CHINESE,112,1,"LI, I             ",0,8,7,0,3,0,0,0,0,0,0,0,0
CHINESE,155,1,"ASHMORE, R        ",0,2,7,4,3,0,0,0,0,0,0,0,1
CHINESE,161,1,"CHEN, Z           ",1,10,5,4,6,0,0,0,0,0,0,0,1
CHINESE,186,1,"HELLER, N L       ",0,7,2,0,3,0,0,0,0,0,0,0,2
CHM ENG,142,1,"BELL, A T         ",2,8,7,10,12,20,13,7,5,0,2,0,1
CHM ENG, 150A,1,"BLANCH, H W       ",4,15,4,19,21,8,0,10,2,0,0,0,0
CHM ENG,154,1,"NEWMAN, J S       ",3,11,5,9,8,7,0,5,0,0,0,0,0
CHM ENG,157,1,"SCHAFFER, D       ",6,10,9,5,11,10,3,0,0,0,0,0,0
CHM ENG,160,1,"WALLMAN, P        ",2,21,7,6,8,5,1,1,0,0,0,0,0
CHM ENG,162,1,"KEASLING, J D     ",1,13,8,14,8,7,2,0,0,0,0,0,0
CHM ENG,179,1,"GRAVES, D B       ",2,5,4,3,4,4,0,1,0,0,0,0,0
CHM ENG,185,1,"PLOUFFE, P B      ",1,3,5,8,0,0,0,0,0,0,0,0,0
CHM ENG,185,2,"PLOUFFE, P B      ",0,3,5,2,1,0,0,0,0,0,0,0,0
CHM ENG,C170L,1,"CLARK, D S        ",4,9,3,3,3,0,0,0,0,0,0,0,0
CIV ENG,60,1,"MONTEIRO, P J     ",3,17,8,8,17,7,0,1,0,0,0,0,2
CIV ENG,70,1,"JOHNSON, K A      ",0,15,15,8,10,7,6,6,1,0,0,0,0
CIV ENG,93,1,"DER KIUREGHIAN, A ",2,4,5,8,10,14,6,3,7,0,0,0,2
CIV ENG,111,1,"NAZAROFF, W W     ",2,7,7,5,21,12,8,4,3,0,2,0,0
CIV ENG,120,1,"STOJADINOVIC, B   ",4,7,16,9,6,8,4,3,0,0,0,1,0
CIV ENG,122,1,"ASTANEH-ASL, A    ",3,8,17,3,0,0,0,0,0,0,0,0,0
CIV ENG,123,1,"MOEHLE, J P       ",0,8,5,3,11,5,1,3,0,0,0,0,0
CIV ENG,130,1,"ARMERO, F         ",3,7,10,11,6,14,11,12,7,1,3,5,5
CIV ENG,130,2,"LUBLINER, J       ",3,10,6,12,8,13,6,3,3,0,0,0,3
CIV ENG,155,1,"CASSIDY, M J      ",0,7,14,11,16,5,4,11,5,0,0,1,1
